SITE_NAME,CELL_ID,RAT,AREA,BANDWIDTH,USER_COUNT,PRB_UTILIZATION,BEFORE_MML_RATE,AFTER_MML_RATE,gain,has_begbr,has_dacq,has_fwa,has_rrc,begbr_BestEffortGbr,dacq_DlAmbrLimitFirstRank,dacq_DlAmbrLimitSecRank,dacq_DlAmbrLimitThirdRank,fwa_DlExpBasedSchGuarUserRate,fwa_DlSchPriCoefficient,rrc_res0_limit_num,source
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,太古城地铁站,10,121,0.9484,3.53,8.33,4.800000000000001,0,0,1,0,0,0,0,0,5000,5000,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,太古城地铁站,10,107,0.8659,2.59,10.25,7.66,0,0,1,0,0,0,0,0,5000,5000,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,太古城地铁站,10,123,0.9717,2.34,8.5,6.16,0,0,1,0,0,0,0,0,5000,5000,0,excel
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,太古城地铁站,10,73,0.3952,1.68,3.1466666666666665,1.4666666666666666,1,1,0,0,2000,800000,799999,799998,0,0,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,太古城地铁站,10,116,0.939,3.31,7.35,4.039999999999999,0,0,1,0,0,0,0,0,5000,5000,0,excel
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,太古城地铁站,20,314,0.7171,2.09,3.8,1.71,1,1,0,0,2000,800000,499999,499998,0,0,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,太古城地铁站,10,118,0.9647,3.55,8.35,4.800000000000001,0,0,1,0,0,0,0,0,5000,5000,0,excel
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,太古城地铁站,10,94,0.3228,2.46,4.0,1.54,1,1,0,0,2000,800000,499999,499998,0,0,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,太古城地铁站,10,125,0.9688,3.04,9.73,6.69,0,0,1,0,0,0,0,0,5000,5000,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,12,LTE,太古城地铁站,20,357,0.8037,1.55,2.72,1.1700000000000002,1,1,0,0,2000,800000,499999,499998,0,0,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,35,LTE,太古城地铁站,10,86,0.3911,1.6,1.8,0.1999999999999999,1,1,0,0,2000,800000,499999,499998,0,0,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,太古城地铁站,10,114,0.9739,2.2,3.8,1.5999999999999996,0,0,1,0,0,0,0,0,5000,5000,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,35,LTE,太古城地铁站,10,66,0.3129,1.8,4.8,3.0,1,1,0,0,6000,700000,699999,699998,0,0,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,12,LTE,太古城地铁站,20,268,0.9438,1.7,5.5,3.8,1,1,0,0,6000,700000,699999,699998,0,0,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,太古城地铁站,10,110,0.9275,4.5,8.5,4.0,0,0,1,0,0,0,0,0,7500,5000,0,excel
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,107,NR,天水围地铁站,10,6,0.067,10.0,18.0,8.0,0,0,1,0,0,0,0,0,15000,5000,0,excel
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,20,LTE,天水围地铁站,10,106,0.76,2.0,2.0,0.0,1,1,0,0,2000,800000,799999,799998,0,0,0,excel
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,天水围地铁站,20,450,0.9654,2.2,2.55,0.3499999999999996,1,1,0,0,2000,800000,799999,799998,0,0,0,excel
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,TaiKoo,20,59,0.6046,8.6531,10.4396,1.7865000000000002,0,0,1,1,0,0,0,0,5000,5000,1000,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,20,39,0.495592,10.2123,12.3837,2.1713999999999984,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,99,0.647861,12.9592,11.8228,-1.1363999999999983,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,40,0.323825,17.7023,14.9997,-2.7026000000000003,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,20,39,0.495592,10.2123,12.3837,2.1713999999999984,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,99,0.647861,12.9592,11.8228,-1.1363999999999983,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,40,0.323825,17.7023,14.9997,-2.7026000000000003,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,47,0.396608,15.9514,16.0321,0.0807000000000002,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,49,0.40088,16.0321,17.0858,1.0536999999999992,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,47,0.413046,18.9496,16.3924,-2.5572000000000017,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,41,0.370893,16.3924,17.6031,1.2107000000000028,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,TaiKoo,20,52,0.5633,12.8668,6.644,-6.222799999999999,0,0,1,1,0,0,0,0,5000,5000,1000,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,20,36,0.524272,12.5356,6.4507,-6.0849,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,112,0.704618,14.9948,4.2885,-10.7063,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,TaiKoo,20,5,0.126021,6.524,3.4394,-3.0846,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,46,0.4933619999999999,15.3694,6.7965,-8.5729,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,20,36,0.524272,12.5356,6.4507,-6.0849,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,112,0.704618,14.9948,4.2885,-10.7063,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,46,0.4933619999999999,15.3694,6.7965,-8.5729,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,TaiKoo,20,94,0.9432,2.6296,1.0047,-1.6249,0,0,1,1,0,0,0,0,5000,5000,1000,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,20,80,0.8362850000000001,2.4183,1.2126,-1.2057,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,191,0.969215,1.601,1.451,-0.1499999999999999,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,TaiKoo,20,13,0.347643,2.4228,1.1944,-1.2284000000000002,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,82,0.723026,7.2305,2.5658,-4.6647,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,20,91,0.777579,1.2126,1.1254,-0.0871999999999999,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,221,0.923258,1.451,1.164,-0.2870000000000001,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,94,0.64858,2.5658,2.2694,-0.2963999999999998,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,TaiKoo,20,15,0.3608449999999999,0.9826,0.9763,-0.0063,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,TaiKoo,20,13,0.312967,1.4297,1.4675,0.0378,1,1,0,0,2000,800000,799999,799998,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_B_SUB6G,107,NR,TaiKoo,20,53,0.6894,7.2055,6.1472,-1.0583,0,0,0,1,0,0,0,0,0,0,1000,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,20,34,0.496422,10.3195,6.6165,-3.703,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,91,0.653642,6.7781,5.1777,-1.6004000000000005,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,TaiKoo,20,4,0.122675,5.6885,2.1368,-3.5517000000000003,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,34,0.325254,19.2083,16.9597,-2.2486,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,20,34,0.496422,10.3195,6.6165,-3.703,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,91,0.653642,6.7781,5.1777,-1.6004000000000005,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,29,0.323106,20.3147,17.3307,-2.983999999999998,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,57,0.468194,18.2992,6.8425,-11.456699999999998,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,20,31,0.485897,8.2218,5.2673,-2.9545000000000003,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,43,0.573203,13.7693,11.8943,-1.875,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,35,LTE,TaiKoo,20,11,0.382445,2.1973,3.354,1.1567000000000005,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,38,0.3646009999999999,20.2752,16.1315,-4.143700000000003,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,30,0.407101,16.1315,18.909,2.7775,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,25,LTE,TaiKoo,20,38,0.520649,7.6002,11.0914,3.4912,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,12,LTE,TaiKoo,20,105,0.6692,5.062,9.9804,4.918399999999999,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
MTUTK_001_TaiKooMTR_A_SUB6G,15,LTE,TaiKoo,20,47,0.44577,12.7737,16.1089,3.3351999999999986,1,0,0,0,2000,0,0,0,0,0,0,extracted_529
